feature_a_id	feature_b_id	feature_a_name	feature_b_name	feature_b_dataset	ks_distance
42	35	proteomics_43	proteomics_36	random.realistic.proteomics	-0.07166666666666667
9	42	proteomics_10	proteomics_43	random.realistic.proteomics	-0.07139999999999999
32	112	proteomics_33	metagenomics_13	random.realistic.metagenomics	0.07113333333333333
88	118	proteomics_89	metagenomics_19	random.realistic.metagenomics	0.07066666666666667
36	31	proteomics_37	proteomics_32	random.realistic.proteomics	0.07046666666666668
91	84	proteomics_92	proteomics_85	random.realistic.proteomics	-0.07046666666666666
18	112	proteomics_19	metagenomics_13	random.realistic.metagenomics	-0.0704
29	96	proteomics_30	proteomics_97	random.realistic.proteomics	0.07020000000000001
21	88	proteomics_22	proteomics_89	random.realistic.proteomics	0.0702
52	118	proteomics_53	metagenomics_19	random.realistic.metagenomics	-0.07
52	79	proteomics_53	proteomics_80	random.realistic.proteomics	-0.06993333333333333
9	98	proteomics_10	proteomics_99	random.realistic.proteomics	0.06993333333333333
46	64	proteomics_47	proteomics_65	random.realistic.proteomics	-0.0688
59	122	proteomics_60	metagenomics_23	random.realistic.metagenomics	0.06866666666666667
9	143	proteomics_10	metagenomics_44	random.realistic.metagenomics	-0.0686
42	9	proteomics_43	proteomics_10	random.realistic.proteomics	-0.0686
46	107	proteomics_47	metagenomics_8	random.realistic.metagenomics	0.0684
42	65	proteomics_43	proteomics_66	random.realistic.proteomics	0.06833333333333333
94	0	proteomics_95	proteomics_1	random.realistic.proteomics	-0.06833333333333333
68	0	proteomics_69	proteomics_1	random.realistic.proteomics	0.0676
1	7	proteomics_2	proteomics_8	random.realistic.proteomics	-0.06753333333333333
96	31	proteomics_97	proteomics_32	random.realistic.proteomics	0.06739999999999999
30	107	proteomics_31	metagenomics_8	random.realistic.metagenomics	-0.06713333333333334
9	61	proteomics_10	proteomics_62	random.realistic.proteomics	0.06666666666666667
28	146	proteomics_29	metagenomics_47	random.realistic.metagenomics	-0.06653333333333333
86	23	proteomics_87	proteomics_24	random.realistic.proteomics	-0.0664
31	96	proteomics_32	proteomics_97	random.realistic.proteomics	0.0664
39	1	proteomics_40	proteomics_2	random.realistic.proteomics	-0.06633333333333333
4	55	proteomics_5	proteomics_56	random.realistic.proteomics	-0.06613333333333334
72	70	proteomics_73	proteomics_71	random.realistic.proteomics	-0.06613333333333334
52	20	proteomics_53	proteomics_21	random.realistic.proteomics	0.06573333333333334
81	106	proteomics_82	metagenomics_7	random.realistic.metagenomics	0.06533333333333333
86	57	proteomics_87	proteomics_58	random.realistic.proteomics	-0.06533333333333333
93	112	proteomics_94	metagenomics_13	random.realistic.metagenomics	-0.06513333333333332
33	139	proteomics_34	metagenomics_40	random.realistic.metagenomics	0.06453333333333333
21	63	proteomics_22	proteomics_64	random.realistic.proteomics	-0.06446666666666667
36	29	proteomics_37	proteomics_30	random.realistic.proteomics	0.06433333333333333
61	20	proteomics_62	proteomics_21	random.realistic.proteomics	-0.06413333333333333
60	26	proteomics_61	proteomics_27	random.realistic.proteomics	-0.06386666666666665
61	100	proteomics_62	metagenomics_1	random.realistic.metagenomics	0.06373333333333334
77	39	proteomics_78	proteomics_40	random.realistic.proteomics	-0.06366666666666666
84	22	proteomics_85	proteomics_23	random.realistic.proteomics	-0.0634
19	59	proteomics_20	proteomics_60	random.realistic.proteomics	0.06273333333333334
44	11	proteomics_45	proteomics_12	random.realistic.proteomics	-0.06259999999999999
52	58	proteomics_53	proteomics_59	random.realistic.proteomics	-0.06253333333333333
46	17	proteomics_47	proteomics_18	random.realistic.proteomics	0.06246666666666666
68	129	proteomics_69	metagenomics_30	random.realistic.metagenomics	0.062400000000000004
74	87	proteomics_75	proteomics_88	random.realistic.proteomics	0.0624
73	109	proteomics_74	metagenomics_10	random.realistic.metagenomics	-0.06233333333333334
53	11	proteomics_54	proteomics_12	random.realistic.proteomics	0.06233333333333333
26	95	proteomics_27	proteomics_96	random.realistic.proteomics	0.06233333333333333
6	141	proteomics_7	metagenomics_42	random.realistic.metagenomics	-0.062266666666666665
68	74	proteomics_69	proteomics_75	random.realistic.proteomics	0.06213333333333333
50	128	proteomics_51	metagenomics_29	random.realistic.metagenomics	0.06193333333333334
96	29	proteomics_97	proteomics_30	random.realistic.proteomics	0.061933333333333326
98	65	proteomics_99	proteomics_66	random.realistic.proteomics	-0.061799999999999994
20	143	proteomics_21	metagenomics_44	random.realistic.metagenomics	0.061733333333333335
89	147	proteomics_90	metagenomics_48	random.realistic.metagenomics	-0.06153333333333333
50	35	proteomics_51	proteomics_36	random.realistic.proteomics	-0.06133333333333334
84	67	proteomics_85	proteomics_68	random.realistic.proteomics	0.061266666666666664
4	86	proteomics_5	proteomics_87	random.realistic.proteomics	-0.061200000000000004
7	83	proteomics_8	proteomics_84	random.realistic.proteomics	-0.06113333333333333
25	123	proteomics_26	metagenomics_24	random.realistic.metagenomics	0.06093333333333333
2	105	proteomics_3	metagenomics_6	random.realistic.metagenomics	-0.06093333333333333
34	18	proteomics_35	proteomics_19	random.realistic.proteomics	-0.060866666666666666
89	8	proteomics_90	proteomics_9	random.realistic.proteomics	0.0608
29	38	proteomics_30	proteomics_39	random.realistic.proteomics	-0.06066666666666666
55	45	proteomics_56	proteomics_46	random.realistic.proteomics	-0.06066666666666666
57	109	proteomics_58	metagenomics_10	random.realistic.metagenomics	0.0606
41	140	proteomics_42	metagenomics_41	random.realistic.metagenomics	-0.0606
2	129	proteomics_3	metagenomics_30	random.realistic.metagenomics	-0.06053333333333333
26	60	proteomics_27	proteomics_61	random.realistic.proteomics	-0.06053333333333333
50	30	proteomics_51	proteomics_31	random.realistic.proteomics	-0.0604
2	74	proteomics_3	proteomics_75	random.realistic.proteomics	-0.060399999999999995
24	10	proteomics_25	proteomics_11	random.realistic.proteomics	0.060200000000000004
35	42	proteomics_36	proteomics_43	random.realistic.proteomics	-0.06006666666666667
19	8	proteomics_20	proteomics_9	random.realistic.proteomics	-0.06
79	148	proteomics_80	metagenomics_49	random.realistic.metagenomics	0.05993333333333333
30	138	proteomics_31	metagenomics_39	random.realistic.metagenomics	-0.059866666666666665
30	50	proteomics_31	proteomics_51	random.realistic.proteomics	-0.059800000000000006
53	113	proteomics_54	metagenomics_14	random.realistic.metagenomics	-0.05973333333333333
32	34	proteomics_33	proteomics_35	random.realistic.proteomics	0.05973333333333333
4	27	proteomics_5	proteomics_28	random.realistic.proteomics	-0.05973333333333333
35	98	proteomics_36	proteomics_99	random.realistic.proteomics	0.059666666666666666
83	7	proteomics_84	proteomics_8	random.realistic.proteomics	-0.059399999999999994
46	48	proteomics_47	proteomics_49	random.realistic.proteomics	0.059333333333333335
7	127	proteomics_8	metagenomics_28	random.realistic.metagenomics	-0.059133333333333336
