feature_a_id	feature_b_id	feature_a_name	feature_b_name	feature_b_dataset	p_value
0	39	proteomics_1	proteomics_40	random.realistic.proteomics	1.3380571914036282e-119
0	40	proteomics_1	proteomics_41	random.realistic.proteomics	1.0817566226775474e-186
0	41	proteomics_1	proteomics_42	random.realistic.proteomics	0.0
0	42	proteomics_1	proteomics_43	random.realistic.proteomics	1.0627168672879049e-28
0	43	proteomics_1	proteomics_44	random.realistic.proteomics	3.5561424600997003e-62
0	44	proteomics_1	proteomics_45	random.realistic.proteomics	4.550810660685208e-178
0	45	proteomics_1	proteomics_46	random.realistic.proteomics	2.109543859720991e-180
0	46	proteomics_1	proteomics_47	random.realistic.proteomics	9.7144368451638e-67
0	47	proteomics_1	proteomics_48	random.realistic.proteomics	1.661618142447572e-49
0	48	proteomics_1	proteomics_49	random.realistic.proteomics	5.530421275561382e-38
0	49	proteomics_1	proteomics_50	random.realistic.proteomics	1.7141305384957268e-45
0	50	proteomics_1	proteomics_51	random.realistic.proteomics	9.179796833755681e-19
0	51	proteomics_1	proteomics_52	random.realistic.proteomics	1.33171918777746e-24
0	52	proteomics_1	proteomics_53	random.realistic.proteomics	1.9273238926505577e-13
0	53	proteomics_1	proteomics_54	random.realistic.proteomics	0.0
0	54	proteomics_1	proteomics_55	random.realistic.proteomics	5.9862347845145785e-146
0	55	proteomics_1	proteomics_56	random.realistic.proteomics	1.2452106059613146e-15
0	56	proteomics_1	proteomics_57	random.realistic.proteomics	1.508196350416497e-104
0	57	proteomics_1	proteomics_58	random.realistic.proteomics	4.283670200639741e-47
0	58	proteomics_1	proteomics_59	random.realistic.proteomics	3.796032213022448e-39
0	59	proteomics_1	proteomics_60	random.realistic.proteomics	1.4522355334651853e-26
0	60	proteomics_1	proteomics_61	random.realistic.proteomics	4.325427851337477e-50
0	61	proteomics_1	proteomics_62	random.realistic.proteomics	1.1619724208270676e-43
0	62	proteomics_1	proteomics_63	random.realistic.proteomics	2.331298926230382e-28
0	63	proteomics_1	proteomics_64	random.realistic.proteomics	1.5422653000766974e-33
0	64	proteomics_1	proteomics_65	random.realistic.proteomics	2.3949144567269697e-18
0	65	proteomics_1	proteomics_66	random.realistic.proteomics	4.029600902934168e-51
0	66	proteomics_1	proteomics_67	random.realistic.proteomics	2.50369839305037e-221
0	67	proteomics_1	proteomics_68	random.realistic.proteomics	1.8990327934486545e-109
0	68	proteomics_1	proteomics_69	random.realistic.proteomics	0.0
0	69	proteomics_1	proteomics_70	random.realistic.proteomics	7.120785115144387e-102
0	70	proteomics_1	proteomics_71	random.realistic.proteomics	6.612920528191737e-36
0	71	proteomics_1	proteomics_72	random.realistic.proteomics	2.1176097604600174e-50
0	72	proteomics_1	proteomics_73	random.realistic.proteomics	0.0
0	73	proteomics_1	proteomics_74	random.realistic.proteomics	1.871751415331654e-17
0	74	proteomics_1	proteomics_75	random.realistic.proteomics	9.174486456927758e-20
0	75	proteomics_1	proteomics_76	random.realistic.proteomics	1.1226583262129094e-100
0	76	proteomics_1	proteomics_77	random.realistic.proteomics	3.381147379103912e-86
0	77	proteomics_1	proteomics_78	random.realistic.proteomics	0.0
0	78	proteomics_1	proteomics_79	random.realistic.proteomics	2.3443025851063627e-49
0	79	proteomics_1	proteomics_80	random.realistic.proteomics	7.399656317393008e-31
0	80	proteomics_1	proteomics_81	random.realistic.proteomics	4.374225783796555e-26
0	81	proteomics_1	proteomics_82	random.realistic.proteomics	2.1826765017645664e-98
0	82	proteomics_1	proteomics_83	random.realistic.proteomics	1.4614490246593118e-106
0	83	proteomics_1	proteomics_84	random.realistic.proteomics	6.879830661775388e-53
0	84	proteomics_1	proteomics_85	random.realistic.proteomics	8.475752690358116e-36
0	85	proteomics_1	proteomics_86	random.realistic.proteomics	5.376192733267815e-64
0	86	proteomics_1	proteomics_87	random.realistic.proteomics	0.0
0	87	proteomics_1	proteomics_88	random.realistic.proteomics	2.538255838233302e-40
0	88	proteomics_1	proteomics_89	random.realistic.proteomics	6.131985444132616e-29
