sample	random.continuous_basic.proteomics	random.continuous_basic.metagenomics
519	0.40486252	0.7127295
520	0.6636489	0.8922825
521	0.8682266	0.16524374
522	0.8955491	0.4814194
523	0.97046417	0.7511375
524	0.61593544	0.6962034
525	0.57276285	0.73063457
526	0.7581137	0.55235565
527	-0.50279987	0.6715783
528	-0.0862683	0.82614523
529	0.6968065	0.8554962
530	0.75845975	0.70648843
531	0.72918224	0.6291031
532	0.70764685	0.47591433
533	-0.075421706	0.6076947
534	0.50770307	0.8078119
535	0.5278736	0.390489
536	0.8146154	0.38886654
537	0.30439702	0.49595952
538	0.6542051	0.6950928
539	0.37311387	0.36398298
540	0.99131095	0.82138354
541	0.7527441	0.5296688
542	0.24066916	0.74357677
543	0.4697307	0.7323832
544	0.9265473	0.51830727
545	0.5854183	0.83036196
546	-0.38758716	0.8071841
547	0.8130886	0.34559366
548	0.19303687	0.76765895
549	0.7379574	0.6137011
550	0.9274927	0.7837426
551	0.17730613	0.48027128
552	0.12831536	0.89334494
553	0.46866038	0.5144264
554	0.059275012	0.025205236
555	0.28692985	0.8767626
556	0.7407196	0.044986166
557	0.8414622	0.49826068
558	0.6593074	0.8474593
559	-0.55342263	0.7861216
560	0.7285797	-0.08711443
561	0.7688534	0.63055426
562	0.8055486	0.38573402
563	-0.036461487	0.604223
564	0.51412976	0.92428017
565	0.42541304	0.9113648
566	0.7930071	0.6382099
567	0.70391536	0.37656626
568	0.8487439	0.7440236
569	0.9652145	0.88475513
570	0.46243393	0.51048696
571	0.28780776	0.5603807
572	0.85625046	0.385568
573	0.7962656	0.74220806
574	0.88276196	0.694338
575	0.59748554	0.5271836
576	0.979201	0.89442664
577	0.6903732	-0.07191612
578	0.4507001	0.60830134
579	0.8722673	0.86871356
580	0.117968984	0.7480588
581	0.32997698	0.4406938
582	0.7154459	0.92820066
583	0.54624796	0.39997783
584	0.4977179	0.7726765
585	0.86957574	0.80191493
586	0.67711794	0.39670107
587	0.7857957	0.8253806
588	0.86864	0.52710736
589	0.66407526	0.23802003
590	0.6204906	0.9145501
591	0.56316996	0.81333494
592	-0.032303136	0.7589521
593	0.22501245	0.6916724
594	0.11331964	0.57278013
595	0.4990088	0.7346521
596	0.43588182	0.5322946
597	0.6611821	0.8669215
598	0.8505815	0.7496553
599	0.762043	0.8181538
600	0.84571844	0.6406707
601	0.4704584	0.60161954
602	0.782098	0.65059555
603	0.6599708	0.5670325
604	-0.36708024	0.8418876
605	0.58000505	0.3473909
606	0.7789452	0.35302913
607	0.67620033	0.7457806
608	0.832277	0.36062524
609	0.8296823	0.8563336
610	0.5371698	0.6863753
611	-0.27742782	0.68559635
612	0.9328862	0.83385384
613	0.8732455	0.83848345
614	0.68609256	0.67515135
615	0.744774	0.44413722
616	0.69843173	0.5991951
617	0.34398443	0.44995004
618	0.25225186	0.65600455
619	0.71954465	0.83038753
620	0.7197356	0.91941226
621	0.40150478	0.79305196
622	0.86422133	0.7572263
623	0.4192983	-0.34318238
624	0.7369824	0.6497534
625	0.9047305	0.100484274
626	0.6123787	0.27822375
627	0.9687898	0.68762755
628	0.959196	0.8603726
629	0.5801728	0.67249805
630	0.5896764	0.47975397
631	0.71057373	0.5348408
632	0.4354262	0.76441944
633	-0.040884774	0.8810327
634	-0.11363542	0.53606075
635	0.7970934	0.8278631
636	0.46946514	0.7765939
637	0.1443054	0.7914672
638	0.9196147	0.55930644
639	0.4351055	0.6107233
640	0.88918746	0.8481428
641	0.66404355	0.7795945
642	0.85995924	0.6037
643	0.115232326	0.86801237
644	0.5614306	0.7869481
645	0.36024	0.7742889
646	0.7713646	0.29343197
647	-0.26292327	-0.09431737
648	0.35040766	0.7805153
649	0.786628	0.5759244
650	0.43081567	0.79039246
651	-0.06095768	0.3635181
652	0.89308655	0.6021436
653	0.26394153	0.8328546
654	-0.279419	0.8020328
655	0.3821069	0.9105335
656	0.11678834	0.8796301
657	0.7140399	0.68356526
658	0.24217847	0.77629256
659	0.7195354	0.8103145
660	0.8737837	0.30153814
661	0.42503715	0.602954
662	-0.19632453	0.8305944
663	0.9056759	0.81256676
664	0.54579175	0.6432895
665	0.2296102	0.761724
666	0.94818187	0.14686434
667	0.7286134	0.7953038
668	0.60151017	0.41270953
669	0.51811516	0.8966358
670	0.7901094	0.8418204
671	0.44982123	0.4442379
672	0.9662461	0.59381723
673	0.18934487	0.34706262
674	0.73848397	0.7838723
675	0.9266982	0.9635365
676	0.9071022	0.89229304
677	-0.21288857	0.5243164
678	0.7148607	0.37961435
679	0.76548845	0.85410947
680	0.6226635	0.8458254
681	0.6036167	0.19398567
682	-0.23660731	-0.09424595
683	0.6903264	0.8997965
684	0.96530735	0.8092315
685	0.17389496	0.74220836
686	0.06152913	0.3810656
687	0.66798717	0.9353849
688	0.8704755	0.5624021
689	0.28445065	0.34696937
690	0.8283622	0.71452916
691	0.6373967	0.83285797
692	0.9290548	-0.150326
693	0.7014849	0.8316231
694	0.46618503	0.5834818
695	0.7250654	0.8049119
696	0.40877113	0.86682546
697	0.870721	0.757627
698	-0.5456635	0.44324496
699	0.49653885	0.49836063
700	0.7485416	0.61262375
701	0.5062529	0.77262336
702	0.86946845	0.65575343
703	0.7133267	0.8313656
704	0.56894976	0.7043117
705	0.79311746	0.818848
706	0.8178294	0.73880005
707	0.9155562	0.86274433
708	0.34246153	0.8423313
709	0.8030103	0.2977465
710	0.53606135	0.67105997
711	0.7991614	0.5494641
712	0.88297635	0.66302484
713	0.035660524	0.8236407
714	0.50305545	0.25793198
715	0.5676217	0.5386772
716	0.8745077	0.524808
717	0.46006456	0.470974
718	0.7212761	0.6572638
719	0.7659326	0.605467
720	0.834446	0.84643364
721	0.28615454	0.60292923
722	0.054124676	0.46405602
723	-0.41351962	0.5158745
724	0.7279525	0.13741311
725	0.284542	0.4786897
726	0.6567546	0.5778939
727	0.6640007	0.58530444
728	0.19322966	0.64633507
729	0.6088986	0.7209971
730	0.7719112	0.87614536
731	0.65482295	0.5917949
732	0.62313765	0.818279
733	0.87267053	0.28209135
734	0.67939675	0.51259595
735	0.500994	0.6146441
736	0.293739	0.67626476
737	0.28063557	0.74413854
738	0.6234492	0.7168139
739	0.54243916	0.39899898
740	0.34204108	0.92480034
741	0.3244021	0.8750205
742	0.85960054	0.6941706
743	0.48875058	0.8373096
744	0.68957406	0.67734295
745	0.8296122	0.936461
746	0.6058322	0.69498086
747	0.57083714	0.69343334
748	0.14986195	0.8655936
749	0.04700903	0.79563457
750	0.12884595	0.9088853
751	0.70659	0.93299687
752	0.62511057	0.9267858
753	0.35616907	0.7983657
754	0.21931542	0.69856703
755	0.6878439	0.5441782
756	0.2208626	0.7150061
757	0.3724689	0.679021
758	0.6309753	0.66110575
759	0.7203023	0.24599536
760	0.41397187	0.26870203
761	0.7175904	0.9204773
762	0.6032986	0.8049193
763	0.6936594	-0.19315787
764	0.56329846	0.9065572
765	0.7524555	0.7257341
766	0.95088166	0.62418944
767	0.85897505	0.3795734
768	0.19821869	0.57663
769	0.37740517	0.9133045
770	0.7130643	0.6880776
771	0.13697995	0.76648086
772	-0.115208834	0.4379946
773	0.8786585	0.6249095
774	0.6768915	0.6107516
775	0.75502443	0.53817683
776	0.3948082	0.53098917
777	0.67566633	0.7562613
778	0.43450782	0.6436613
779	0.49464425	0.6424942
780	0.41847575	0.7414958
781	0.9822761	0.36968794
782	0.16534464	0.7448294
783	0.9619743	0.9224378
784	-0.49320817	-0.1355875
785	0.4662304	0.554575
786	0.73466706	0.20498817
787	0.8176604	0.6543412
788	0.91710365	0.8069969
789	0.026427219	0.86425596
790	0.83377606	0.7064199
791	-0.03943371	0.87314105
792	0.68663317	0.49384812
793	0.8410028	0.63752073
794	0.15005095	0.32848245
795	0.5528716	0.76865077
796	0.41187745	0.6621384
797	0.031915892	0.8971907
798	0.2985831	0.811701
799	0.72062516	0.6086398
800	0.81450576	0.7703155
801	0.7162992	0.5898827
802	0.8945755	0.81901115
803	-0.034415342	0.7347201
804	0.7012418	0.60649115
805	0.7806109	0.5391455
806	0.77070355	0.7289934
807	0.6672442	0.7252983
808	0.34583813	0.8426405
809	0.6652582	0.45186916
810	-0.14182916	0.5104316
811	0.4461826	-0.6703715
812	0.6373562	0.78306603
813	-0.11815829	0.7515993
814	0.8965476	0.7025665
815	0.63232344	0.6817713
816	0.085891776	0.81187654
817	0.62378645	0.83080363
818	0.878317	0.5431212
819	0.74446195	0.5280397
820	0.6084132	0.33474943
821	0.3621458	-0.15733954
822	0.659719	0.35723624
823	0.6181306	0.3563676
824	0.70513004	0.5910359
825	0.72848874	0.47055092
826	0.45484865	0.5770531
827	0.6382391	0.9381383
828	0.073706366	0.44712788
829	-0.025395477	0.72839093
830	0.7849323	0.6361226
831	0.4298405	0.82434607
832	0.46164557	0.71685964
833	0.74462205	0.6817193
